"Month","SO_nitrate","SO_ammonia","SO_phyt","SO_detritus","D_nitrate","D_ammonia","D_phyt","D_detritus","SI_nitrate","SI_ammonia","SI_phyt","SI_detritus","RIV_nitrate","RIV_ammonia","RIV_detritus","SO_ATM_nitrate_flux","SO_ATM_ammonia_flux","SI_ATM_nitrate_flux","SI_ATM_ammonia_flux","SI_other_nitrate_flux","SI_other_ammonia_flux","SO_other_nitrate_flux","SO_other_ammonia_flux","DO_nitrate","DO_ammonia","DO_detritus"
1,8.53402706635048,0.240643687760035,0.000636655500762909,0.11394490492718,11.245659604857,0.188705346809299,8.35600124971832e-05,0.0874865729091598,11.3738192510106,0.240606072486928,0.00124004500842376,0.197566435472439,17.094438056978,1.89938200633089,0,0.0212411565731885,0.0109225402646247,0.033982496382454,0.0190206992221043,0,0,0,0,13.269104800419,0.144893878708932,0.0708576805895267
2,9.25383574231406,0.223336654742903,9.87065090846466e-05,0.0717027801835005,11.179091559352,0.183094117549286,1.81316535012814e-05,0.0580577291265226,12.1856592265492,0.23579565421765,0.000508603860775782,0.136387154745443,17.6085138695573,1.95650154106192,0,0.0279092169073486,0.0184997032190208,0.0404498404525037,0.0257995389408467,0,0,0,0,13.3164326450722,0.141011322137038,0.030184183290541
3,9.61351406629696,0.209646335415681,7.53050358401524e-05,0.0425133120212109,11.1705391694568,0.175483500391861,9.42467207759982e-06,0.0387688708354207,12.6649777673583,0.236012006836924,0.000684338169492811,0.0871173042999575,17.0399824292631,1.89333138102923,0,0.0323512947641759,0.0257595139662928,0.0498915243516183,0.0363689474976076,0,0,0,0,13.3282649058945,0.136354581527861,0.0122722954149104
4,9.74426465336081,0.19837564631354,0.000787289841974754,0.0246799702372315,11.1824979279748,0.167972664083332,1.79799655399206e-05,0.0266808558093995,12.8551689525322,0.245396815717784,0.0607425377228626,0.0455008480520472,16.6372295036605,1.84858105596228,0,0.0210375966326821,0.0181202343221576,0.025196422024497,0.0198862646218567,0,0,0,0,13.2504868362786,0.131779795319794,0.00644855803006727
5,9.65976623295158,0.200354389921509,0.120931420698173,0.0179276048126747,11.1833613460549,0.161509889709592,0.000339564261602365,0.0192910126734177,9.90521807304089,0.459897479391635,1.9612673537345,0.460624807351502,14.437551388548,1.60417237650534,0,0.012593060165369,0.0101829166009095,0.0247461488470435,0.0193376678861849,0,0,0,0,13.1884217848157,0.128260209411769,0.00479871129879098
6,6.25849184011754,0.357769533882321,1.89786880875546,0.539264641218004,11.1624639876582,0.159104131106978,0.00362637154612935,0.0202826654013064,8.37184334839595,0.611699203667584,1.20573738172794,1.88666680675481,14.2751502698737,1.58612780776374,0,0.00741106895951643,0.00490265427201632,0.0177618965417856,0.0121915650864442,0,0,0,0,13.168289674991,0.124483865093956,0.00386719614217121
7,4.74369887770742,0.462665428190492,0.824873396559702,1.67150127711201,11.1670134765556,0.160680114991612,0.00277670747396468,0.119852127375208,7.09936734264984,0.560508219951963,0.768345676932032,2.28574612437632,13.5391354207903,1.50434838008781,0,0.00795019604909461,0.0068902143723576,0.0186098756672051,0.0142067382197982,0,0,0,0,13.1425914730146,0.121294582652131,0.00443388912967365
8,4.29636231720355,0.408960023327243,0.526525626376841,1.37001322386786,11.1897191558163,0.165250417386538,0.000702307070989547,0.259306995136292,6.25603187329409,0.495066423074564,0.532027682465264,1.80258330233632,13.5161167658669,1.50179075176299,0,0.0100580611682501,0.00835840948664236,0.0156046694985801,0.0122777536116575,0,0,0,0,13.2149172006261,0.11847133430385,0.020784365754627
9,4.14374561230069,0.404540603385457,0.415063356402376,0.93219776850264,11.2285489827847,0.176701481370214,0.000338818182155339,0.303812114579898,5.46462441940544,0.456883195225633,0.43498827422132,1.16023536077768,14.3628520153748,1.59587244615275,0,0.0135497884115293,0.0127906229213945,0.034671358852869,0.0335762312724477,0,0,0,0,13.2917501989612,0.117369936722803,0.0627819337037453
10,4.77870889171619,0.387602994663288,0.185046834337729,0.598529560938906,11.2550741591987,0.187868609487747,0.000812319514822637,0.274543010572152,5.27363784795073,0.403461145527925,0.226241816113527,0.770994601242691,16.1559476698239,1.7951052966471,0,0.0246377538434715,0.0192311131030596,0.0272039448507645,0.0202315538683863,0,0,0,0,13.2712692218404,0.122801840947831,0.130481009890611
11,6.03982424791448,0.312400729024657,0.0402528289058935,0.33447652412825,11.2604027121259,0.191949845189019,0.000921842857245938,0.198799335433571,6.66401329274844,0.324105468488849,0.0626146760119091,0.457860011159256,17.1436831773672,1.90485368637413,0,0.0204182065291596,0.0114214849946577,0.0323827673370639,0.019913119197424,0,0,0,0,13.1993858502775,0.133786989238091,0.186467232199256
12,7.28461184395184,0.267627026292891,0.00602854813040784,0.194489079025861,11.2458355298541,0.191770754786245,0.000391832416366224,0.133071090407323,8.74924108659222,0.265992155034819,0.00908435077788201,0.293357359566418,17.5903860531053,1.95448733923392,0,0.023839610397026,0.0123146833950645,0.0363234827543871,0.0197589090566069,0,0,0,0,13.2578724734956,0.141910296215855,0.144945384593741
